vuln_id,affected_package,ecosystem,severity,fix_commits_found,functions_mined,num_functions_mined,functions_in_call_graph,num_in_call_graph,reachability_verdicts,has_unreachable,source_repo
GHSA-q3j6-qgpj-74h6,fast-uri,npm,HIGH,0,,0,,0,,False,
GHSA-v39h-62p7-jpjc,fast-uri,npm,HIGH,0,,0,,0,,False,
GHSA-mw96-cpmx-2vgc,rollup,npm,HIGH,3,addModuleToManualChunk;isFileNameOutsideOutputDirectory;normalizePathSegments;validateOutputBundleFileNames,4,,0,,False,rollup/rollup
GHSA-qx2v-qp2m-jg93,postcss,npm,MODERATE,0,,0,,0,,False,postcss/postcss
GHSA-xpqw-6gx7-v673,svgo,npm,HIGH,0,,0,,0,,False,
GHSA-w8qv-6jwh-64r5,browserslist,npm,MODERATE,2,coverQuery;nodeQuery;sinceQuery,3,,0,,False,browserslist/browserslist
GHSA-qpx9-hpmf-5gmw,underscore,npm,HIGH,2,deepEq;eq;isEqual;toBufferView,4,,0,,False,jashkenas/underscore
GHSA-36fh-84j7-cv5h,jszip,npm,MODERATE,1,prepareContent;resolve;transformTo,3,,0,,False,Stuk/jszip
GHSA-jg8v-48h5-wgxg,jszip,npm,MODERATE,2,JSZip,1,,0,,False,Stuk/jszip
GHSA-29mw-wpgm-hmr9,lodash,npm,MODERATE,4,baseTrim;trimmedEndIndex,2,,0,,False,lodash/lodash
GHSA-35jh-r3h4-6jhm,lodash,npm,HIGH,1,,0,,0,,False,lodash/lodash
GHSA-p6mc-m468-83gw,lodash,npm,HIGH,2,,0,,0,,False,lodash/lodash
GHSA-48c2-rrv3-qjmp,yaml,npm,MODERATE,1,,0,,0,,False,eemeli/yaml
GHSA-952p-6rrq-rcjv,micromatch,npm,MODERATE,4,hasBraces;isEmptyString;isObject,3,isEmptyString;hasBraces,2,,False,micromatch/micromatch
GHSA-grv7-fg5c-xmjg,braces,npm,HIGH,3,flattenBlocks;markImbalancedBraces;parse;validateInput,4,parse,1,,True,micromatch/braces
GHSA-6673-4983-2vx5,fonttools,pypi,HIGH,1,subset_glyphs,1,,0,,False,fonttools/fonttools
GHSA-768j-98cg-p3fv,fonttools,pypi,MODERATE,1,__init__;main,2,,0,,False,fonttools/fonttools
GHSA-3f63-hfp8-52jq,Pillow,pypi,CRITICAL,1,eval,1,,0,,False,python-pillow/Pillow
GHSA-44wm-f244-xhp3,Pillow,pypi,HIGH,1,test_auxiliary_channels_isolated;test_long_modes,2,,0,,False,python-pillow/Pillow
GHSA-8ghj-p4vj-mr35,Pillow,pypi,HIGH,2,Layout;_string_length_check;getbbox;getlength;getmask2;test_render_mono_size;test_too_many_characters,7,,0,,False,python-pillow/Pillow
GHSA-j7hp-h8jx-5ppr,Pillow,pypi,HIGH,11,,0,,0,,False,qnighy/libwebp-sys2-rs
GHSA-q4mp-jvh2-76fj,Pillow,pypi,HIGH,2,_setup;test_oom;test_timeout,3,,0,,False,python-pillow/Pillow
GHSA-r73j-pqj5-w3x7,Pillow,pypi,MODERATE,2,read_prev_trailer;read_trailer;test_duplicate_xref_entry;test_trailer_loop,4,,0,,False,python-pillow/Pillow
GHSA-wjx4-4jcj-g98j,Pillow,pypi,MODERATE,0,,0,,0,,False,python-pillow/Pillow
GHSA-3ww4-gg4f-jr7f,cryptography,pypi,HIGH,0,,0,,0,,False,pyca/cryptography
GHSA-5cpq-8wj7-hf2v,cryptography,pypi,LOW,1,,0,,0,,False,pyca/cryptography
GHSA-9v9h-cgj8-h64p,cryptography,pypi,MODERATE,7,,0,,0,,False,openssl/openssl
GHSA-jfhm-5ghh-2f97,cryptography,pypi,MODERATE,2,_load_pkcs7_certificates,1,,0,,False,pyca/cryptography
GHSA-jm77-qphf-c4w8,cryptography,pypi,LOW,2,,0,,0,,False,pyca/cryptography
GHSA-m959-cc7f-wv43,cryptography,pypi,LOW,0,,0,,0,,False,
GHSA-r6ph-v2qm-q3c2,cryptography,pypi,HIGH,1,CryptographyDeprecationWarning;get_curve_for_oid,2,,0,,False,pyca/cryptography
GHSA-v8gr-m533-ghj9,cryptography,pypi,LOW,1,,0,,0,,False,pyca/cryptography
GHSA-w7pp-m8wf-vj6r,cryptography,pypi,MODERATE,2,update_into,1,,0,,False,pyca/cryptography
GHSA-x4qr-2fvf-3mr5,cryptography,pypi,HIGH,0,,0,,0,,False,
GHSA-9wx4-h78v-vm56,requests,pypi,MODERATE,2,SOCKSProxyManager;_get_connection;_urllib3_request_context;build_response;send,5,send;build_response,2,,False,psf/requests
GHSA-j8r2-6x86-q33q,requests,pypi,MODERATE,1,rebuild_proxies,1,rebuild_proxies,1,,False,psf/requests
GHSA-pg2w-x9wp-vw92,requests,pypi,MODERATE,2,resolve_redirects,1,resolve_redirects,1,,False,psf/requests
GHSA-x84v-xcm2-53pg,requests,pypi,HIGH,2,get_redirect_target;rebuild_auth;should_strip_auth,3,should_strip_auth;rebuild_auth,2,,False,requests/requests
GHSA-2g68-c3qc-8985,werkzeug,pypi,HIGH,1,__call__;__init__;check_host_trust;check_pin_trust;debug_application;execute_command;host_is_trusted;log_pin_request;pin_auth;run_simple,10,run_simple;__init__,2,,False,pallets/werkzeug
GHSA-f9vj-2wh5-fj8j,werkzeug,pypi,MODERATE,1,safe_join,1,,0,,False,pallets/werkzeug
GHSA-hrfv-mqp8-q5rw,werkzeug,pypi,MODERATE,3,_parse_data,1,,0,,False,pallets/werkzeug
GHSA-px8h-6qxv-m22q,werkzeug,pypi,LOW,1,_cookie_parse_impl;parse_cookie,2,,0,,False,pallets/werkzeug
GHSA-q34m-jh98-gwm2,werkzeug,pypi,MODERATE,3,FormDataParser;Quart;Request;__init__;_parse_multipart;_parse_urlencoded;files;handle_websocket_exception;max_content_length;max_form_memory_size;max_form_parts;parse;receive_data,13,__init__,1,,False,pallets/quart
GHSA-xg9f-g7g7-2323,werkzeug,pypi,HIGH,1,FormDataParser;Request;__init__;_parse_multipart;make_form_data_parser;next_event;parse,7,__init__,1,,False,pallets/werkzeug
GHSA-597g-3phw-6986,virtualenv,pypi,MODERATE,2,_lock_file;make_app_data,2,,0,,False,pypa/virtualenv
GHSA-rqc4-2hc7-8c8v,virtualenv,pypi,HIGH,1,NushellActivator;PowerShellActivator;PythonActivator;ViaTemplateActivator;instantiate_template;quote;templates,7,,0,,False,pypa/virtualenv
